,abv,beer,beer_url,brewery,brewery_profile_url,gots,note,pdev,rank,rating,ratings_count,review_count,style,trade,wants,review_id
268,4.3,rebel red,https://www.beeradvocate.com/beer/profile/2294/5802/,franciscan well micro brewery,/beer/profile/2294/,30.0,A malt driven Irish style red ale balance by the hop varieties Fuggles and East Kent Golding.,12.94,30573.0,3.71,84.0,22.0,irish red ale,0.0,1.0,franciscan well micro brewery rebel red
859,3.5,lord proprietor's mild,https://www.beeradvocate.com/beer/profile/52742/113180/,edmund's oast brewing company,/beer/profile/52742/,5.0,"When King Charles II gave the Province of Carolina to his buddies, they were known as the Lords Proprietor. In honor of our city’s heritage, we have attempted to blend something uniquely Charleston with something uniquely English.

Infusing black tea from Charleston Tea Plantation (America’s only tea plantation) into a traditional English-style Mild, we have married the surprisingly complementary flavors of tea and roasted barley. Notes of tea, coffee, cocoa, and caramel meld seamlessly into this quintessential session ale.",13.89,14277.0,3.96,31.0,12.0,english dark mild ale,0.0,1.0,edmund's oast brewing company lord proprietor's mild
144,5.0,mother lager,https://www.beeradvocate.com/beer/profile/96/12743/,magic hat brewing company,/beer/profile/96/,34.0,"The Evolved Euro-Style Lager. Brewed to spur the people to unite in the fight for imbibing emancipation and smash the oppressive tyranny of malt monotony! Mother Lager was a refreshing, evolved alternative to the familiar Euro-style imports, exported from the People's Republic of Vermont.

17 IBU",14.63,44273.0,3.35,135.0,81.0,european pale lager,0.0,1.0,magic hat brewing company mother lager
1388,8.0,bourbon barrel porter,https://www.beeradvocate.com/beer/profile/19321/61603/,shawneecraft brewing company,/beer/profile/19321/,11.0,None provided.,13.14,17991.0,3.88,64.0,15.0,english porter,0.0,4.0,shawneecraft brewing company bourbon barrel porter
2481,5.0,keller pilsner,https://www.beeradvocate.com/beer/profile/32889/133244/,persephone brewing,/beer/profile/32889/,0.0,None provided.,7.31,23440.0,3.83,11.0,1.0,german kellerbier / zwickelbier,0.0,0.0,persephone brewing keller pilsner
1808,7.2,elephant beer,https://www.beeradvocate.com/beer/profile/721/1996/,carlsberg danmark a/s,/beer/profile/721/,115.0,"Carlsberg Elephant is a so-called ’Bock Bier’, brewed for the first time in 1959. The ample use of malt gives Carlsberg Elephant a vinous and rich character with apple, melon, banana, and caramel flavours balanced with a dry bitterness and hints of oak, bark, nuts and pine needles. The colours is pale gold with white foam.

The elephants on the beer’s label are inspired by the two pair life-size elephant statues, which form part of the main entrance to the Carlsberg Group’s headquarters in Copenhagen.",23.67,47188.0,2.83,796.0,347.0,european strong lager,0.0,12.0,carlsberg danmark a/s elephant beer
1628,,herkules kölsch,https://www.beeradvocate.com/beer/profile/32906/114372/,schilling beer co.,/beer/profile/32906/,3.0,None provided.,13.33,12894.0,4.05,14.0,4.0,german kölsch,0.0,1.0,schilling beer co. herkules kölsch
2648,6.7,thirst mutilator,https://www.beeradvocate.com/beer/profile/9629/99425/,short's brewing company,/beer/profile/9629/,9.0,"Thirst Mutilator is a light straw-blonde Munich Helles Style Lager with sharp doughy yeast esters that gather atop a perfectly retained head. Pronounced grain flavors of lightly kilned barley produce bready and flour-like qualities that blend pleasantly with mild hop bitterness. Aided by a wonderful effervescence, these delicate flavors fade into a crisp, clean, and refreshing finish. 

25 IBU",10.03,24839.0,3.79,54.0,9.0,german helles,0.0,0.0,short's brewing company thirst mutilator
878,4.3,buffalo bitter,https://www.beeradvocate.com/beer/profile/1001/5463/,firehouse brewing co.,/beer/profile/1001/,0.0,None provided.,13.98,28527.0,3.72,13.0,3.0,english bitter,0.0,0.0,firehouse brewing co. buffalo bitter
573,5.5,arbor brewing batch 1000 smoked lager,https://www.beeradvocate.com/beer/profile/1457/13743/,arbor brewing company,/beer/profile/1457/,1.0,None provided.,16.39,30859.0,3.66,11.0,8.0,smoke beer,0.0,1.0,arbor brewing company arbor brewing batch 1000 smoked lager
157,5.5,spectra hoppy pilsner,https://www.beeradvocate.com/beer/profile/33058/248525/,ecliptic brewing,/beer/profile/33058/,0.0,"Spectra Hoppy Pilsner casts an array of spicy and herbal hop flavors and aromas from Sterling and Mandarina Bavaria hops. Brewed in the unfiltered Kellerbier style, pale malt works with the yeast left in the beer to create a crisp and hoppy lager.",6.63,18860.0,3.92,13.0,6.0,german kellerbier / zwickelbier,0.0,3.0,ecliptic brewing spectra hoppy pilsner
533,5.5,sticke altbier,https://www.beeradvocate.com/beer/profile/17287/87011/,wedge brewing company,/beer/profile/17287/,0.0,None provided.,9.65,28272.0,3.73,17.0,2.0,german altbier,0.0,0.0,wedge brewing company sticke altbier
886,5.0,english pale ale,https://www.beeradvocate.com/beer/profile/39301/173676/,black swan brewing co.,/beer/profile/39301/,4.0,"A traditional, malt-forward, British-style beer, light copper in colour. Enjoy its moderate hop flavour and light bitterness.",4.45,23799.0,3.82,12.0,1.0,english pale ale,0.0,0.0,black swan brewing co. english pale ale
509,5.4,alhambra negra,https://www.beeradvocate.com/beer/profile/9262/22584/,"grupo cervezas alhambra, sl",/beer/profile/9262/,9.0,None provided.,15.5,45006.0,3.29,158.0,94.0,european dark lager,0.0,5.0,"grupo cervezas alhambra, sl alhambra negra"
864,5.8,bobo's robust porter,https://www.beeradvocate.com/beer/profile/751/32648/,big sky brewing company,/beer/profile/751/,17.0,"A small bottle with big flavor! Brewed with six different malts and generously hopped, robust doesn't really begin to describe this beer. Smooth chocolate flavors with hints of Coffee, Caramel and Vanilla. Hop presence is copious and is matched by rich malt flavors.

32 IBU",10.7,21194.0,3.83,244.0,107.0,robust porter ,0.0,8.0,big sky brewing company bobo's robust porter
1361,4.0,biscuit bitter,https://www.beeradvocate.com/beer/profile/40976/241595/,2sp brewing company,/beer/profile/40976/,1.0,None provided.,5.01,25348.0,3.79,10.0,2.0,english bitter,0.0,0.0,2sp brewing company biscuit bitter
589,5.9,7 course red,https://www.beeradvocate.com/beer/profile/28091/82385/,free will brewing co.,/beer/profile/28091/,1.0,"This Irish red is a beefed up version of the traditional style. Notes of caramel and roast in the aroma lead to an assertive malt profile with notes of toffee and dried fruit. This full bodied, stoplight red beer is balanced by just the right amount of hop bitterness and finishes with a mild sweetness. Pair this beer with roasted pork loin, bbq beef brisket, or traditional cornbeef and cabbage.",12.88,32755.0,3.65,23.0,4.0,irish red ale,0.0,2.0,free will brewing co. 7 course red
129,4.5,sesiόn cerveza,https://www.beeradvocate.com/beer/profile/5316/273146/,full sail brewing company,/beer/profile/5316/,5.0,"Straw gold in color, and light in body, Sesiόn Cerveza is brewed with Pilsner malt, flaked corn, and Celeia and Northern Brewer hops. The hops impart subtle hints of lemon and spice to complement the crisp malt body.",12.99,38859.0,3.54,41.0,16.0,american light lager,0.0,2.0,full sail brewing company sesiόn cerveza
232,,elevator schmidt's gold,https://www.beeradvocate.com/beer/profile/1464/9362/,elevator brewery & draught haus,/beer/profile/1464/,4.0,None provided.,8.65,29075.0,3.7,10.0,3.0,european export / dortmunder,0.0,0.0,elevator brewery & draught haus elevator schmidt's gold
2260,5.0,san miguel dark lager,https://www.beeradvocate.com/beer/profile/355/7102/,san miguel brewery inc.,/beer/profile/355/,20.0,None provided.,15.99,42999.0,3.44,270.0,176.0,european dark lager,0.0,8.0,san miguel brewery inc. san miguel dark lager
2275,,barley's christmas ale,https://www.beeradvocate.com/beer/profile/1513/20927/,smokehouse brewing co.,/beer/profile/1513/,2.0,None provided.,13.16,24714.0,3.8,14.0,7.0,herb and spice beer,0.0,2.0,smokehouse brewing co. barley's christmas ale
383,7.3,mourning wood,https://www.beeradvocate.com/beer/profile/16773/76109/,local option,/beer/profile/16773/,49.0,"Formerly Morning Wood

Mourning Wood is an oak-aged coffee amber ale. Fresh American oak used during the aging process and Dark Matter’s El Salvador San Jose pulp-natural coffee aromatically drive the beer yet they remain subtle components of the beers’ overall flavor profile. This amber colored, medium-bodied, and extraordinarily well-balanced ale has a delicate taste that is appreciated by beer drinkers of all palates.",9.9,20227.0,3.84,506.0,76.0,american amber / red ale,5.0,14.0,local option mourning wood
2512,5.8,yellow fever,https://www.beeradvocate.com/beer/profile/34318/138385/,comrade brewing company,/beer/profile/34318/,2.0,None provided.,8.63,6674.0,4.17,23.0,3.0,american blonde ale,0.0,2.0,comrade brewing company yellow fever
1953,7.0,general washington's tavern porter (bourbon barrel aged),https://www.beeradvocate.com/beer/profile/450/62472/,yards brewing co.,/beer/profile/450/,25.0,Also known as Washington's Reserve,9.56,6798.0,4.08,85.0,17.0,english porter,0.0,15.0,yards brewing co. general washington's tavern porter (bourbon barrel aged)
